Gender;Age;Breed;Number;Housing;Zone;Exterior Access;Observations;Timide;Calme;Effrayé;Intelligent;Vigilant;Perséverant;Affectueux;Amical;Solitaire;Brutal;Dominant;Aggressive;Impulsive;Predictable;Distracted
F;2a10;NR;3;MI;R;3;1;4;3;5;4;2;4;4;1;5;4;5;5;5;1;2
M;1a2;NR;2;ML;PU;0;2;2;1;2;5;3;3;5;4;1;2;3;1;1;4;5
F;2a10;RAG;Plusde5;MI;PU;0;3;1;4;1;4;4;3;4;4;1;1;1;1;1;3;1
M;Moinsde1;RAG;1;AAB;U;0;2;2;4;2;4;5;5;5;5;1;2;2;3;4;4;5
M;Moinsde1;RAG;2;MI;U;0;2;1;3;1;5;2;4;5;5;1;1;1;1;1;3;3
F;1a2;RAG;2;MI;U;0;2;4;5;3;2;3;3;2;3;4;1;1;1;1;3;3
M;2a10;RAG;2;ML;R;2;3;1;5;2;5;2;3;5;5;1;1;2;1;1;5;2
M;2a10;RAG;2;ML;PU;0;2;2;5;3;5;3;5;4;5;1;1;4;1;2;5;4
F;2a10;Autre;2;AAB;PU;0;3;1;4;1;4;4;5;5;4;2;1;1;1;3;2;2
M;2a10;MCO;2;AAB;U;1;2;1;2;1;4;4;4;5;4;2;2;4;2;1;3;1
F;Moinsde1;RAG;1;AAB;U;0;3;3;2;3;5;3;5;4;3;3;2;2;3;4;4;5
F;1a2;EUR;3;MI;R;3;3;1;4;1;5;5;5;5;3;2;1;1;1;3;3;3
F;2a10;RAG;3;ML;PU;0;2;1;4;1;3;2;4;5;4;2;2;3;2;2;4;4
M;2a10;EUR;1;ML;U;0;2;2;3;2;4;5;5;5;5;2;1;3;2;3;4;4
M;Moinsde1;RAG;1;AAB;U;0;2;1;2;3;4;2;2;5;5;3;2;2;3;2;2;4
M;2a10;RAG;1;ML;U;2;2;3;4;3;4;5;3;5;5;2;1;1;1;1;4;3
F;Moinsde1;RAG;1;MI;R;1;2;1;5;1;5;4;5;5;5;1;1;2;1;1;3;4
M;Moinsde1;RAG;1;AAB;PU;0;3;4;3;1;4;1;3;5;4;1;1;1;1;4;4;3
F;2a10;CHA;1;ML;U;1;2;1;5;2;4;5;5;3;3;4;1;4;3;3;4;4
F;1a2;RAG;1;ML;PU;0;2;2;3;2;3;2;4;3;4;2;1;2;2;2;4;4
F;Moinsde1;RAG;1;ML;PU;1;3;1;5;3;5;4;4;5;4;1;1;1;3;1;5;5
F;2a10;NR;1;ML;R;2;2;2;5;4;3;4;2;4;4;4;2;1;2;1;4;2
M;1a2;SBI;3;MI;R;3;2;4;5;2;5;5;5;4;1;4;1;4;2;4;2;1
M;Moinsde1;EUR;1;AAB;R;2;2;2;1;2;5;5;5;1;2;3;5;5;3;4;2;5
F;1a2;NR;1;AAB;R;4;2;5;5;2;5;5;5;5;5;1;1;2;3;1;3;1
F;2a10;EUR;2;ASB;U;1;1;3;4;3;5;5;5;4;3;3;3;4;5;4;3;3
M;1a2;SPH;1;AAB;U;1;2;1;2;3;5;4;4;5;5;5;1;1;1;1;1;4
F;1a2;SBI;3;AAB;U;2;2;2;4;5;4;4;4;5;4;5;4;3;4;3;4;3
M;1a2;MCO;1;ML;R;2;2;4;4;2;3;4;4;4;4;2;3;2;2;2;3;2
M;2a10;EUR;5;ML;R;2;3;3;2;1;4;4;4;4;2;1;3;3;1;4;4;1
M;2a10;NR;1;ML;U;2;3;1;3;1;5;3;5;3;1;1;4;5;4;5;5;5
M;1a2;TUV;1;ASB;PU;0;2;3;4;2;3;4;2;4;3;1;1;2;2;1;3;3
F;Moinsde1;ORI;1;ML;U;0;3;1;1;3;4;3;3;2;1;2;3;1;3;3;3;2
F;Plusde10;EUR;2;MI;R;3;2;3;5;1;5;5;5;4;4;2;1;1;1;1;4;3
M;2a10;EUR;1;ASB;U;0;2;4;3;5;4;4;2;4;4;4;4;3;5;4;3;3
M;2a10;PER;1;AAB;PU;1;2;3;5;2;4;4;4;4;1;2;1;1;1;1;1;1
F;2a10;NR;5;ML;R;1;3;3;5;3;5;5;5;5;3;2;1;1;2;1;2;4
M;2a10;EUR;2;MI;R;3;1;5;5;2;5;5;3;4;1;4;1;2;4;2;2;2
F;2a10;SBI;4;ML;R;0;2;2;5;2;4;3;1;4;3;4;1;1;1;1;3;2
F;1a2;MCO;2;MI;U;1;2;3;1;1;4;3;4;2;3;1;2;4;1;2;4;4
M;2a10;MCO;1;ML;PU;2;3;5;4;3;5;5;4;2;1;4;3;3;3;2;2;4
M;2a10;BRI;1;ML;PU;1;2;1;4;1;5;5;5;4;2;2;4;4;4;4;4;2
M;1a2;NR;1;AAB;U;2;2;3;2;2;5;5;5;5;4;2;4;3;2;4;4;3
M;2a10;Autre;2;ML;PU;1;2;1;3;1;4;2;5;5;4;2;3;3;1;2;3;4
M;2a10;EUR;Plusde5;MI;R;3;2;2;2;2;4;5;5;4;2;4;2;4;2;1;4;2
M;Moinsde1;MCO;4;AAB;U;0;2;3;4;1;4;4;3;4;2;4;3;3;1;3;3;4
F;2a10;EUR;1;ML;U;0;2;4;1;3;4;4;5;4;3;3;4;4;3;4;2;4
F;Plusde10;EUR;Plusde5;MI;U;0;2;1;2;1;3;3;3;3;3;1;1;1;1;3;3;1
F;1a2;EUR;1;ML;PU;2;1;2;5;3;4;4;5;3;4;4;1;2;1;1;5;3
M;1a2;EUR;4;AAB;U;1;2;4;2;1;4;2;4;4;4;1;4;2;1;4;4;4
M;2a10;EUR;2;AAB;U;3;3;2;2;2;5;5;5;5;1;2;2;5;4;4;1;1
M;2a10;SAV;1;AAB;U;2;3;3;3;3;5;4;5;5;5;2;1;2;3;3;4;2
F;2a10;EUR;5;ML;R;2;3;4;3;4;4;4;3;4;1;4;1;1;4;1;4;1
M;1a2;BEN;2;AAB;PU;1;2;2;1;3;5;3;3;5;4;1;3;3;1;3;5;3
F;2a10;EUR;1;ASB;U;1;2;2;4;1;5;4;5;5;4;4;1;5;3;4;4;5
M;2a10;EUR;2;ML;R;3;2;1;3;3;5;5;5;4;4;2;5;5;2;5;5;5
M;2a10;NR;1;ML;PU;0;1;2;4;5;3;3;4;2;2;4;4;4;4;4;4;3
M;2a10;EUR;3;ASB;PU;1;2;1;5;3;5;3;4;5;5;4;1;1;1;3;5;3
M;2a10;EUR;1;ML;PU;2;2;4;4;1;3;4;3;3;2;1;1;1;1;1;4;4
M;Moinsde1;EUR;1;AAB;U;1;2;1;3;1;4;3;4;5;4;2;4;3;1;3;3;3
M;2a10;EUR;3;MI;U;1;3;1;5;1;5;5;5;5;5;2;1;3;1;4;5;3
M;2a10;Autre;3;MI;R;2;2;1;2;1;4;3;3;4;2;1;2;2;1;2;1;2
M;2a10;NR;4;ML;R;0;2;5;3;1;3;4;3;2;1;2;2;3;1;4;4;4
F;1a2;EUR;2;AAB;PU;2;2;1;2;1;4;2;5;4;5;1;1;5;4;2;2;4
M;Plusde10;NR;1;AAB;U;2;3;1;4;1;5;2;3;5;5;1;1;1;1;1;4;1
F;2a10;EUR;1;ML;PU;1;2;2;4;5;5;5;5;2;4;5;1;2;5;4;3;4
M;2a10;BEN;3;AAB;PU;3;1;4;4;1;5;5;4;2;3;5;3;5;1;1;3;2
F;1a2;EUR;2;AAB;U;2;1;4;4;4;3;4;4;4;3;3;2;2;4;2;4;3
F;2a10;RAG;Plusde5;MI;R;1;3;1;5;1;5;5;5;5;5;1;1;3;4;3;4;3
M;2a10;Autre;2;AAB;U;1;3;3;4;3;5;4;5;5;3;1;1;3;2;3;4;3
M;2a10;NR;1;AAB;U;2;3;1;2;3;5;5;5;5;4;2;1;3;5;3;3;5
F;2a10;NR;2;AAB;U;0;2;1;1;1;5;5;5;2;2;4;4;5;4;5;1;2
M;Moinsde1;NR;1;MI;U;1;3;1;4;2;4;4;4;4;4;1;4;2;2;4;4;4
M;2a10;EUR;4;AAB;U;2;3;1;1;1;5;5;5;3;4;1;3;5;3;5;5;1
M;Plusde10;EUR;3;ASB;U;2;3;1;4;2;5;3;3;5;5;1;5;5;4;4;4;4
M;1a2;MCO;2;ML;R;0;3;1;3;2;4;5;3;5;5;1;1;3;3;5;4;4
F;Moinsde1;TUV;1;ASB;U;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
M;2a10;NR;5;ML;PU;3;3;1;5;2;5;5;5;5;1;2;1;1;3;2;2;5
F;Plusde10;EUR;Plusde5;AAB;U;1;3;1;3;3;5;3;4;5;4;3;1;1;1;3;3;3
F;1a2;SBI;2;AAB;R;0;1;1;1;1;4;5;5;2;4;1;4;4;1;1;1;3
M;2a10;SBI;2;ML;U;1;2;1;4;2;4;4;4;2;4;4;1;4;2;2;4;2
F;2a10;EUR;2;ASB;U;0;3;3;2;3;4;2;3;5;3;2;1;4;4;3;3;4
M;2a10;SBI;2;MI;R;1;2;1;3;2;3;3;4;3;2;3;3;4;4;4;2;3
M;2a10;SBI;2;AAB;PU;1;2;1;4;5;5;5;5;5;5;4;1;2;1;2;4;5
F;Moinsde1;NR;1;AAB;U;0;3;1;4;3;5;5;4;5;4;3;1;4;3;3;4;4
M;2a10;SBI;3;AAB;PU;0;3;1;5;2;4;4;4;5;5;1;2;1;1;1;4;4
F;Moinsde1;EUR;2;AAB;U;1;3;2;4;3;5;4;4;3;4;3;1;2;1;1;5;2
M;Moinsde1;SBI;1;ASB;U;0;2;2;4;2;5;5;4;5;4;1;3;4;3;2;2;4
F;Plusde10;EUR;3;ML;R;3;3;1;4;1;5;5;5;4;4;4;1;3;3;1;1;3
M;1a2;EUR;1;ASB;PU;0;2;3;4;5;3;1;5;5;4;4;5;1;1;1;4;5
M;2a10;SBI;2;AAB;PU;1;2;2;4;3;4;4;4;4;4;2;1;1;1;3;4;3
M;2a10;NR;1;ASB;U;0;3;1;1;3;2;1;2;2;2;2;1;3;2;3;1;3
F;2a10;SBI;1;ML;PU;1;3;1;3;3;5;5;4;5;5;1;3;5;1;4;4;4
F;Moinsde1;SBI;1;MI;PU;0;3;1;3;2;4;4;3;4;4;1;2;2;3;1;4;3
M;1a2;SBI;3;MI;PU;0;2;1;2;2;4;4;5;4;4;3;2;2;1;1;3;1
M;Plusde10;BRI;1;AAB;U;1;2;4;5;3;4;4;2;5;3;4;1;1;1;1;5;3
M;2a10;SBI;1;AAB;U;1;2;1;4;3;5;5;5;5;5;1;1;3;3;3;3;3
M;Plusde10;EUR;2;AAB;PU;1;2;1;4;1;3;3;3;5;4;4;5;5;5;3;3;4
M;Moinsde1;MCO;2;ML;U;0;2;1;1;1;2;1;1;1;2;1;4;3;1;1;3;2
F;Moinsde1;SBI;3;MI;U;0;3;1;3;3;3;3;3;3;3;2;2;2;1;2;3;2
M;1a2;BRI;3;MI;PU;3;1;2;2;2;3;1;2;2;2;2;1;1;1;1;2;1
M;2a10;NR;2;AAB;U;1;2;4;5;3;5;5;4;5;4;2;1;1;2;1;5;4
M;Moinsde1;SBI;2;AAB;PU;0;2;1;2;1;4;4;4;4;4;1;1;4;1;4;4;2
F;2a10;BRI;2;AAB;PU;2;2;3;2;3;4;4;3;2;1;4;1;4;1;1;3;3
F;2a10;EUR;2;AAB;U;1;1;5;5;5;5;5;5;4;1;5;4;4;2;2;4;4
M;2a10;NR;1;ML;U;0;2;2;3;3;3;2;3;5;4;3;2;3;3;3;4;4
M;1a2;Autre;1;AAB;R;0;2;3;3;1;4;4;3;4;4;1;1;1;1;1;1;3
F;Moinsde1;EUR;3;ML;R;0;2;3;2;1;5;2;5;5;4;1;1;2;1;1;1;5
F;2a10;EUR;1;ASB;R;0;3;2;2;3;2;2;2;2;1;1;1;2;2;1;2;2
M;2a10;SBI;1;ML;PU;0;2;2;4;5;3;4;3;4;4;2;1;1;3;2;3;3
M;1a2;NR;1;ASB;U;1;3;1;4;1;4;4;4;5;4;1;1;1;1;1;1;4
M;2a10;EUR;1;MI;R;3;3;5;2;1;5;5;4;4;1;3;5;5;5;5;2;1
M;Plusde10;EUR;1;AAB;U;1;2;4;5;3;5;3;3;5;2;2;1;1;3;1;5;3
M;2a10;EUR;1;ASB;U;0;1;1;5;1;5;4;4;2;4;4;2;1;1;1;1;1
F;2a10;SBI;1;ML;R;0;2;3;1;2;3;3;3;3;3;2;1;2;2;2;2;2
F;2a10;NR;2;AAB;U;1;2;4;3;2;4;4;4;5;2;4;1;2;2;3;2;2
F;2a10;SPH;3;ASB;U;0;3;1;5;1;5;5;5;5;5;1;1;1;1;1;5;3
M;2a10;EUR;3;AAB;R;1;1;2;4;1;4;4;4;3;2;2;2;4;2;2;4;4
M;2a10;BRI;1;AAB;U;0;2;3;2;1;4;4;4;3;3;4;3;4;3;4;4;1
M;Plusde10;EUR;Plusde5;ML;PU;0;2;3;3;1;5;4;4;5;3;2;1;1;1;1;3;1
F;2a10;EUR;Plusde5;ML;R;0;2;2;5;1;4;4;5;5;4;4;2;1;3;4;4;4
M;2a10;EUR;1;AAB;PU;2;2;2;4;3;5;5;5;5;4;1;2;2;3;2;4;4
M;2a10;EUR;3;MI;R;2;2;5;1;5;3;5;5;5;1;1;2;1;1;5;5;5
M;2a10;SAV;2;ASB;U;0;2;3;3;1;3;2;2;3;1;3;1;3;1;1;1;1
M;2a10;NR;2;ASB;U;0;3;4;3;1;5;4;4;3;4;4;1;3;2;4;2;1
F;1a2;BEN;2;AAB;R;2;2;2;4;1;5;5;5;5;3;2;1;4;1;1;4;4
M;Plusde10;BEN;1;AAB;U;1;3;4;2;3;4;4;5;4;2;4;3;3;3;4;3;4
M;Plusde10;EUR;1;AAB;U;1;3;1;2;5;5;5;5;5;5;1;3;4;4;4;1;2
F;2a10;EUR;1;AAB;U;0;2;3;3;3;5;5;5;3;1;4;4;4;3;4;5;1
M;2a10;SBI;Plusde5;MI;R;0;2;4;3;2;5;3;5;4;3;2;2;3;1;1;4;2
F;2a10;PER;Plusde5;MI;R;0;3;1;5;1;5;5;5;5;5;1;1;1;1;1;5;1
F;2a10;EUR;1;MI;R;0;3;3;3;3;3;3;3;3;2;3;1;3;2;3;3;3
M;1a2;SBI;2;AAB;PU;1;2;3;4;2;5;4;3;4;4;5;3;3;1;2;3;3
M;2a10;TUV;3;MI;PU;3;2;5;4;5;5;5;4;5;1;5;1;1;1;1;5;3
M;2a10;SBI;3;AAB;PU;1;3;1;5;2;5;2;5;5;5;1;1;4;2;1;5;3
M;2a10;SBI;1;AAB;PU;0;3;2;4;1;5;1;3;5;4;1;1;1;4;4;4;4
M;2a10;SBI;2;AAB;U;1;2;3;4;4;4;4;3;3;3;3;2;4;3;3;4;2
F;Moinsde1;SBI;3;ML;R;0;3;1;3;1;5;1;4;4;3;1;1;3;4;1;3;4
M;1a2;SBI;1;ASB;U;0;2;1;5;2;4;4;4;4;5;3;1;1;2;1;4;4
F;Moinsde1;PER;1;AAB;U;0;2;1;4;3;4;1;3;5;5;3;1;1;3;1;4;4
M;1a2;PER;1;AAB;PU;1;2;3;5;3;4;4;5;4;3;5;1;1;3;3;3;4
M;Moinsde1;PER;1;MI;U;0;2;1;3;1;4;2;1;3;4;1;1;3;1;1;1;5
M;2a10;PER;1;AAB;U;1;2;2;4;2;4;4;4;5;4;3;2;3;3;4;4;4
F;Moinsde1;PER;1;ML;U;0;2;1;5;1;5;3;5;5;5;1;1;1;1;1;1;5
M;2a10;NSP;1;MI;R;2;1;1;5;1;5;5;5;5;5;5;1;1;1;1;1;1
M;1a2;PER;1;AAB;R;1;2;4;4;5;4;2;1;4;4;4;1;3;1;1;4;5
F;Moinsde1;PER;1;AAB;PU;0;3;4;4;3;4;3;4;4;4;2;1;3;3;2;4;2
F;Plusde10;SBI;1;AAB;PU;1;3;2;4;2;4;4;3;4;3;3;1;3;3;1;4;1
M;2a10;PER;2;AAB;R;2;2;2;4;2;5;4;4;4;4;3;3;3;2;2;3;2
M;Plusde10;PER;1;AAB;U;1;2;2;5;3;5;5;4;5;2;4;1;1;1;1;3;4
F;2a10;BEN;2;AAB;U;0;3;1;1;1;5;5;5;5;5;1;3;3;4;4;5;1
M;1a2;SBI;1;AAB;U;1;2;4;5;4;2;2;2;2;1;4;1;1;1;1;4;5
F;2a10;Autre;3;AAB;R;0;3;1;3;1;5;4;4;5;4;2;1;3;2;4;4;4
F;2a10;BEN;1;ASB;U;0;2;2;5;3;5;5;5;5;5;1;1;1;3;1;3;1
F;2a10;BEN;1;ASB;U;0;2;2;5;3;5;5;5;5;5;1;1;1;3;1;3;1
F;2a10;EUR;1;MI;PU;3;2;3;4;2;5;5;5;5;4;4;1;1;5;1;1;5
M;1a2;MCO;2;ML;R;0;2;3;5;3;2;5;1;3;4;3;2;5;2;4;2;2
M;1a2;MCO;2;ML;R;0;2;1;2;1;4;2;4;2;5;4;1;1;1;1;2;5
M;Moinsde1;MCO;4;AAB;U;1;2;1;4;1;4;5;4;5;4;3;3;4;1;4;4;2
F;2a10;BEN;2;AAB;U;1;2;4;2;1;5;3;4;5;4;1;2;2;4;4;4;4
M;1a2;RAG;Plusde5;MI;R;1;3;1;1;1;3;1;3;1;1;3;1;3;1;3;3;3
F;Moinsde1;BEN;1;AAB;U;0;2;4;3;1;5;4;5;4;3;3;3;3;1;2;2;5
M;2a10;NR;4;AAB;U;1;2;1;3;1;3;3;3;3;2;1;3;3;2;3;1;3
M;2a10;SBI;2;AAB;U;0;3;1;4;3;4;2;4;4;4;3;1;4;4;3;4;3
M;1a2;MCO;2;AAB;U;0;2;4;4;1;5;4;2;5;4;1;4;4;3;4;3;4
M;2a10;MCO;3;AAB;R;0;2;1;2;1;5;5;5;5;5;1;1;4;1;1;1;1
M;Moinsde1;MCO;Plusde5;MI;R;2;3;1;3;3;5;5;5;5;4;1;2;4;3;3;3;3
F;2a10;NR;2;AAB;U;1;2;4;3;3;4;3;5;5;4;1;3;5;4;2;3;4
M;1a2;PER;2;ML;PU;0;1;3;5;3;5;5;2;4;4;3;1;3;2;1;2;2
F;1a2;MCO;2;ML;PU;0;1;2;2;3;4;3;4;3;4;3;4;4;4;4;4;5
F;2a10;BEN;1;AAB;U;1;2;2;3;3;5;4;5;5;2;1;4;4;3;3;4;3
F;Plusde10;MCO;2;AAB;U;0;3;1;4;1;5;4;4;5;3;4;1;3;1;1;4;2
M;2a10;MCO;2;AAB;U;0;3;2;3;2;5;4;5;4;4;2;1;3;1;4;4;4
M;Moinsde1;SBI;1;ASB;U;0;1;1;4;1;4;2;2;4;5;2;2;2;1;2;5;4
M;Moinsde1;SBI;1;AAB;PU;1;2;1;4;3;4;3;4;4;5;2;5;2;3;3;4;4
M;Moinsde1;SBI;1;AAB;R;0;2;2;4;3;4;4;4;5;4;2;4;3;3;3;3;4
M;2a10;MCO;4;ML;U;2;3;1;4;1;5;5;5;5;4;1;1;1;1;1;4;5
F;1a2;EUR;2;MI;R;3;2;4;2;2;4;4;4;5;3;2;4;4;2;4;2;4
M;Plusde10;EUR;1;AAB;PU;2;2;4;5;3;4;5;3;5;1;3;1;3;1;3;5;3
M;1a2;BEN;4;ML;U;1;3;1;1;1;4;2;4;3;4;1;1;1;1;4;3;4
M;2a10;PER;1;AAB;U;0;3;2;4;2;3;3;1;4;4;1;1;1;1;1;4;4
F;2a10;PER;1;AAB;U;3;2;4;4;3;4;3;4;4;1;3;1;1;1;1;1;4
F;1a2;MCO;1;ASB;R;0;2;2;2;3;3;2;5;4;5;4;4;3;3;4;5;4
M;Moinsde1;MCO;1;MI;PU;2;3;1;2;1;1;2;2;2;3;1;1;3;1;1;2;3
F;Moinsde1;NR;2;ML;PU;0;3;5;4;4;4;4;4;5;1;1;4;1;1;4;4;5
M;2a10;PER;1;ASB;U;0;2;3;4;3;3;3;3;5;3;2;1;3;3;3;5;4
M;Plusde10;PER;4;ML;R;0;2;2;4;1;4;3;3;4;4;4;2;5;3;4;2;2
F;2a10;PER;2;ML;PU;1;2;3;4;4;2;3;3;4;4;1;2;1;2;3;3;2
M;Moinsde1;NR;1;ML;R;2;3;4;4;1;4;4;4;5;3;1;1;1;1;1;2;4
F;2a10;BEN;2;AAB;U;1;2;1;4;2;4;4;4;4;4;1;1;1;1;1;4;1
F;Plusde10;NR;2;AAB;U;1;1;5;5;5;4;4;1;5;4;4;1;1;1;1;4;4
M;2a10;SBI;3;AAB;U;0;2;1;4;1;5;3;4;5;5;2;1;3;1;2;5;5
F;2a10;EUR;2;ML;U;2;2;1;4;5;5;4;2;5;1;4;1;4;2;1;1;1
M;2a10;BEN;Plusde5;ASB;PU;0;3;1;2;1;2;3;2;2;4;3;4;4;4;4;3;3
F;1a2;PER;1;AAB;U;0;2;5;4;3;5;5;3;3;1;2;1;1;3;2;5;5
F;2a10;PER;2;MI;R;1;2;4;4;3;4;2;3;5;2;3;1;1;1;1;4;4
M;2a10;PER;1;ML;U;1;2;1;2;2;5;4;5;2;2;4;2;3;2;4;4;4
M;1a2;BEN;2;AAB;U;0;2;1;2;3;5;3;5;4;5;3;5;3;2;5;5;5
F;Moinsde1;EUR;1;ML;U;0;2;2;5;2;4;4;4;5;5;3;1;2;2;2;3;3
M;Plusde10;EUR;2;ML;R;3;2;2;3;2;4;4;4;3;3;4;3;4;3;4;3;3
F;2a10;Autre;2;AAB;U;0;2;2;2;5;3;4;3;4;5;4;1;3;4;4;3;2
F;2a10;SBI;1;AAB;PU;1;2;2;4;3;5;4;5;5;4;1;1;1;1;4;3;5
F;Moinsde1;PER;2;ASB;U;0;3;5;4;5;5;5;5;4;1;4;1;1;1;1;1;4
M;Plusde10;EUR;2;ASB;U;0;3;1;5;1;5;5;4;5;5;1;1;1;1;1;4;1
F;1a2;MCO;5;AAB;R;0;2;2;5;1;5;5;5;5;5;1;4;1;1;1;4;1
F;1a2;BEN;2;AAB;U;2;2;3;2;3;5;4;5;4;4;1;4;4;3;4;1;5
F;1a2;SBI;1;AAB;PU;2;2;3;4;3;5;5;5;3;2;1;2;4;3;4;5;2
F;2a10;SBI;2;ASB;U;0;1;4;5;4;4;5;4;5;2;4;1;2;4;1;5;3
F;2a10;Autre;2;ASB;U;0;2;1;2;1;5;1;5;5;5;1;1;1;1;4;4;5
M;2a10;MCO;1;ASB;U;0;3;3;3;5;5;5;3;5;4;1;4;5;1;4;4;5
F;2a10;SBI;2;AAB;U;0;2;3;4;3;5;5;3;5;2;1;1;4;4;1;4;4
M;Moinsde1;EUR;2;MI;R;0;2;1;1;3;4;1;4;5;5;2;3;3;3;3;5;5
F;1a2;BEN;3;ML;PU;2;2;2;4;2;5;4;4;2;4;4;2;2;2;2;2;4
M;2a10;MCO;4;AAB;U;0;2;4;5;1;4;4;1;5;1;3;1;1;1;1;5;3
M;Plusde10;NR;2;AAB;U;0;3;1;5;1;5;3;1;5;5;3;1;1;1;1;1;1
F;2a10;SBI;1;ASB;U;0;1;4;4;3;4;4;4;4;4;4;2;3;3;2;4;3
M;1a2;MCO;2;ML;U;2;2;1;4;1;5;5;4;5;5;2;2;1;1;1;3;1
M;Moinsde1;MCO;1;ASB;PU;0;2;2;3;3;4;4;5;5;5;1;1;2;2;2;4;4
F;2a10;Autre;2;ML;U;2;1;1;3;1;4;1;3;1;1;5;4;5;5;3;4;3
M;Moinsde1;MCO;Plusde5;ML;U;1;2;1;4;1;5;3;4;5;4;1;2;3;1;2;3;2
F;Plusde10;EUR;1;AAB;PU;1;2;5;4;3;4;3;5;5;2;2;4;3;3;4;4;2
M;1a2;MCO;1;ML;U;0;2;1;4;2;4;3;4;3;4;2;1;1;1;1;3;3
M;1a2;NR;1;MI;R;2;2;1;4;4;5;4;4;5;4;3;2;1;2;2;4;4
M;2a10;MCO;1;AAB;PU;1;2;1;5;2;5;4;5;5;4;3;1;3;2;2;3;2
M;Moinsde1;EUR;3;AAB;PU;2;2;5;3;2;4;4;4;5;2;4;1;1;1;1;3;4
M;2a10;PER;1;ASB;U;0;2;2;4;2;4;3;3;5;4;2;3;3;2;3;3;4
M;2a10;PER;4;ML;PU;1;2;4;4;2;4;5;3;5;3;2;1;1;1;1;3;4
M;2a10;MCO;3;ML;R;0;2;1;4;1;5;5;5;5;5;4;1;2;3;2;2;2
F;Moinsde1;BEN;1;AAB;U;1;2;1;2;3;4;4;4;5;5;1;3;3;3;4;3;4
M;1a2;MCO;2;AAB;PU;0;2;2;4;2;4;3;2;5;4;1;2;2;2;1;2;4
F;2a10;MCO;2;AAB;PU;0;2;1;4;2;5;4;4;4;2;2;2;4;4;2;2;4
M;Moinsde1;BRI;1;ML;U;0;3;4;4;3;5;4;5;5;2;1;1;1;1;1;4;4
F;2a10;BRI;1;AAB;U;1;3;1;4;1;5;5;5;5;5;2;1;3;1;1;5;3
M;Plusde10;EUR;1;MI;PU;3;3;1;4;2;4;4;5;5;3;3;1;5;5;3;3;4
F;2a10;EUR;Plusde5;AAB;PU;0;2;2;4;1;5;5;5;5;4;2;1;5;1;1;4;3
F;1a2;BRI;1;ML;R;0;1;1;2;2;4;4;4;4;1;1;1;1;1;1;1;1
M;2a10;BRI;2;ML;U;0;2;1;4;1;4;3;5;5;5;2;3;5;4;4;4;3
F;2a10;BRI;3;MI;R;0;1;3;5;3;3;2;3;5;4;2;1;2;2;1;4;4
F;Moinsde1;Autre;1;AAB;U;1;2;1;3;4;5;3;5;5;5;2;1;1;1;4;3;4
F;2a10;BRI;1;ASB;U;0;3;4;5;2;3;4;2;5;2;2;1;2;2;2;4;4
M;1a2;BRI;1;ASB;U;0;2;5;3;4;5;5;5;5;3;3;1;3;1;4;4;5
F;2a10;Autre;1;AAB;U;0;2;4;4;3;4;4;3;4;3;4;3;3;3;3;3;3
M;Moinsde1;EUR;1;AAB;U;0;2;4;4;1;5;4;4;5;1;2;2;1;1;3;4;3
M;Moinsde1;BRI;1;AAB;U;1;3;1;3;2;4;3;3;4;5;2;3;3;2;3;3;4
F;2a10;EUR;2;MI;PU;2;1;4;4;4;3;4;2;3;1;3;1;1;1;1;3;3
F;1a2;BRI;2;AAB;PU;0;2;2;3;4;4;3;4;3;3;2;3;3;2;3;2;4
F;Moinsde1;BRI;1;AAB;PU;1;2;2;4;4;3;4;4;3;4;4;4;3;2;4;2;4
F;Moinsde1;BRI;1;AAB;PU;1;3;1;5;5;4;4;4;5;4;3;1;1;1;1;1;4
M;2a10;BRI;1;AAB;U;1;2;4;5;3;4;5;4;4;4;3;1;1;3;1;4;3
M;1a2;BRI;1;AAB;U;0;2;4;4;4;5;5;5;4;1;4;1;1;1;2;4;2
M;2a10;Autre;2;AAB;PU;0;2;1;5;1;4;3;3;5;4;1;1;2;1;1;5;5
M;2a10;BRI;1;ASB;U;0;1;4;4;3;4;2;3;4;3;4;1;1;3;2;4;2
F;2a10;BRI;1;AAB;PU;0;2;4;4;3;4;5;5;2;2;4;1;3;3;4;5;3
M;Plusde10;NR;Plusde5;AAB;R;0;2;4;4;2;4;4;3;5;3;2;3;3;2;4;4;2
F;1a2;BRI;2;AAB;U;1;1;1;3;1;1;2;2;2;3;1;1;1;1;1;2;2
M;2a10;EUR;2;MI;R;2;3;1;1;1;3;2;3;3;1;1;1;1;1;2;1;2
M;1a2;BRI;1;AAB;PU;1;2;4;3;4;5;2;5;5;4;4;2;1;3;2;4;5
M;2a10;RAG;Plusde5;MI;R;1;2;2;4;1;4;4;4;4;4;1;1;2;1;1;4;2
F;2a10;BRI;1;AAB;U;1;2;1;4;3;4;4;2;2;4;4;2;3;3;2;4;4
F;1a2;EUR;2;ML;U;1;2;5;5;3;5;5;4;3;3;3;1;2;3;1;3;3
M;2a10;BRI;2;ASB;U;0;2;4;5;2;4;4;4;3;3;4;2;4;5;1;5;1
M;2a10;EUR;1;AAB;U;0;2;4;4;3;4;2;3;5;1;2;1;3;3;1;5;4
M;Moinsde1;EUR;1;AAB;U;0;2;3;1;1;2;2;5;5;4;1;3;1;1;4;5;5
